# ProtocolLib constant name -> PacketEvents constant name.
#
# ProtocolLib and PacketEvents both name packets after wiki.vg/Mojang, so most constants
# already agree and are matched automatically by the generator (exact name, or PacketEvents'
# wrapper class name matching one of ProtocolLib's declared packet class aliases).
#
# This file covers only the names that do NOT match automatically. Every row was checked
# against ProtocolLib's own PacketType.java declarations (which carry the Mojang, Spigot and
# legacy class names for each packet) and PacketEvents' wrapper classes. Fuzzy matching was
# deliberately NOT used for these: a wrong packet mapping fails silently at runtime and
# corrupts plugin behaviour, so they are pinned explicitly instead.
#
# The generator fails the build if any PE_NAME here does not exist, so a PacketEvents upgrade
# that renames a packet surfaces as a build error rather than a silent behaviour change.
#
# Format: PROTOCOL <TAB> SIDE <TAB> PROTOCOLLIB_NAME <TAB> PACKETEVENTS_NAME

HANDSHAKING	CLIENT	SET_PROTOCOL	HANDSHAKE

# --- Play, clientbound ---
PLAY	SERVER	ANIMATION	ENTITY_ANIMATION
PLAY	SERVER	STATISTIC	STATISTICS
PLAY	SERVER	BLOCK_CHANGED_ACK	ACKNOWLEDGE_BLOCK_CHANGES
PLAY	SERVER	BOSS	BOSS_BAR
PLAY	SERVER	CHUNK_BATCH_FINISHED	CHUNK_BATCH_END
PLAY	SERVER	CHUNK_BATCH_START	CHUNK_BATCH_BEGIN
PLAY	SERVER	CHUNKS_BIOMES	CHUNK_BIOMES
PLAY	SERVER	COMMANDS	DECLARE_COMMANDS
PLAY	SERVER	WINDOW_DATA	WINDOW_PROPERTY
PLAY	SERVER	CUSTOM_PAYLOAD	PLUGIN_MESSAGE
PLAY	SERVER	GAME_STATE_CHANGE	CHANGE_GAME_STATE
PLAY	SERVER	OPEN_WINDOW_HORSE	OPEN_HORSE_WINDOW
PLAY	SERVER	OPEN_WINDOW_MERCHANT	MERCHANT_OFFERS
PLAY	SERVER	INITIALIZE_BORDER	INITIALIZE_WORLD_BORDER
PLAY	SERVER	MAP_CHUNK	CHUNK_DATA
PLAY	SERVER	WORLD_EVENT	EFFECT
PLAY	SERVER	WORLD_PARTICLES	PARTICLE
PLAY	SERVER	LIGHT_UPDATE	UPDATE_LIGHT
PLAY	SERVER	LOGIN	JOIN_GAME
PLAY	SERVER	MAP	MAP_DATA
PLAY	SERVER	REL_ENTITY_MOVE	ENTITY_RELATIVE_MOVE
PLAY	SERVER	REL_ENTITY_MOVE_LOOK	ENTITY_RELATIVE_MOVE_AND_ROTATION
PLAY	SERVER	ENTITY_LOOK	ENTITY_ROTATION
# Mojang renamed clientbound pong_response to debug_pong; PacketEvents tracks the new name.
PLAY	SERVER	PONG_RESPONSE	DEBUG_PONG
PLAY	SERVER	AUTO_RECIPE	CRAFT_RECIPE_RESPONSE
PLAY	SERVER	CHAT	CHAT_MESSAGE
PLAY	SERVER	PLAYER_COMBAT_END	END_COMBAT_EVENT
PLAY	SERVER	PLAYER_COMBAT_ENTER	ENTER_COMBAT_EVENT
PLAY	SERVER	PLAYER_COMBAT_KILL	DEATH_COMBAT_EVENT
PLAY	SERVER	LOOK_AT	FACE_PLAYER
PLAY	SERVER	POSITION	PLAYER_POSITION_AND_LOOK
PLAY	SERVER	ENTITY_DESTROY	DESTROY_ENTITIES
